,year,title,firm,firm_id,log_rom_size,log_clock_speed,collaboration,main_category,sub_category,category_id
0,1971.0,Galaxy Game,"Computer Recreations, Inc",0,5.104056700737986,0.47712125471966244,single,Shooter,Flying,0
1,1975.0,Wheels II,Midway,1,2.6190933306267428,3.0,single,Driving,Race,1
2,1975.0,Gun Fight (set 2),Dave Nutting Associates,2,3.612359947967774,0.30033456800232994,collaboration,Shooter,Versus,2
3,1975.0,Gun Fight (set 2),Midway,1,3.612359947967774,0.30033456800232994,collaboration,Shooter,Versus,2
4,1975.0,Gun Fight (set 1),Dave Nutting Associates,2,3.612359947967774,0.30033456800232994,collaboration,Shooter,Versus,2
5,1975.0,Gun Fight (set 1),Midway,1,3.612359947967774,0.30033456800232994,collaboration,Shooter,Versus,2
6,1976.0,CoMotion,Gremlin,3,3.6635124704151556,0.3178544893314692,single,Maze,Surround,3
7,1976.0,CoMotion (patent),Gremlin,3,3.6635124704151556,0.3178544893314692,single,Maze,Surround,3
8,1976.0,280-ZZZAP,Dave Nutting Associates,2,3.7884512070234555,0.30033456800232994,collaboration,Driving,1st Person,4
9,1976.0,280-ZZZAP,Midway,1,3.7884512070234555,0.30033456800232994,collaboration,Driving,1st Person,4
10,1976.0,Sprint 2 (set 1),Atari,4,4.02234587626988,-0.12147820449879346,single,Driving,Race Track,5
11,1976.0,Lazer Command,"Meadows Games, Inc.",5,3.8232133132826673,-0.1760916933503803,single,Maze,Shooter Small,6
12,1976.0,Brickyard,Ramtek,6,3.4082399653118496,-0.2525400261658822,single,Maze,Surround,3
13,1976.0,Ace,Allied Leisure,7,3.4874212113594742,0.3010299956639812,single,Shooter,Field,7
14,1976.0,Tank 8 (set 1),Atari,4,3.7884512070234555,0.04355874691473269,single,Maze,Shooter Small,6
15,1976.0,Tank 8 (set 2),Atari,4,3.8232133132826673,0.04355874691473269,single,Maze,Shooter Small,6
16,1976.0,Sea Wolf (set 2),Dave Nutting Associates,2,3.612359947967774,0.30033456800232994,collaboration,Shooter,Gallery,8
17,1976.0,Sea Wolf (set 2),Midway,1,3.612359947967774,0.30033456800232994,collaboration,Shooter,Gallery,8
18,1976.0,Sea Wolf (set 3),Dave Nutting Associates,2,3.612359947967774,0.30033456800232994,collaboration,Shooter,Gallery,8
19,1976.0,Sea Wolf (set 3),Midway,1,3.612359947967774,0.30033456800232994,collaboration,Shooter,Gallery,8
20,1976.0,Sprint 2 (set 2),Atari,4,4.02234587626988,-0.12147820449879346,single,Driving,Race Track,5
21,1976.0,Tank 8 (set 3),Atari,4,3.8232133132826673,0.04355874691473269,single,Maze,Shooter Small,6
22,1976.0,Sea Wolf (set 1),Dave Nutting Associates,2,3.612359947967774,0.30033456800232994,collaboration,Shooter,Gallery,8
23,1976.0,Sea Wolf (set 1),Midway,1,3.612359947967774,0.30033456800232994,collaboration,Shooter,Gallery,8
24,1976.0,"Cannonball (Atari, prototype)",Atari,4,3.926753905189737,-0.12147820449879346,single,Ball & Paddle,Jump and Touch,9
25,1976.0,Cops'n Robbers,Atari,4,3.8455940931600243,-0.04823228616378442,single,Shooter,Versus,2
26,1976.0,Barricade,Ramtek,6,3.4082399653118496,-0.2525400261658822,single,Maze,Surround,3
27,1976.0,Amazing Maze,Midway,1,3.612359947967774,0.30033456800232994,single,Maze,Collect,10
28,1976.0,Bigfoot Bonkers,"Meadows Games, Inc.",5,3.6635124704151556,-0.1760916933503803,single,Maze,Surround,3
29,1976.0,Knights in Armor,Project Support Engineering,8,3.010299956639812,3.0,single,Fighter,Medieval Tournament,11
30,1976.0,Tank 8 (set 5),Atari,4,3.7884512070234555,0.04355874691473269,single,Maze,Shooter Small,6
31,1976.0,Blockade,Gremlin,3,3.4082399653118496,0.3178544893314692,single,Maze,Surround,3
32,1976.0,Tank 8 (set 4),Atari,4,3.7884512070234555,0.04355874691473269,single,Maze,Shooter Small,6
33,1976.0,Night Driver,Atari,4,3.6869935662646784,0.003460532109506489,single,Driving,1st Person,4
34,1977.0,Depthcharge,Gremlin,3,3.792951708250132,0.286357653142787,single,Shooter,Gallery,8
35,1977.0,Subs,Atari,4,4.03148925570975,-0.12147820449879346,single,Shooter,Field,7
36,1977.0,Desert Gun,Dave Nutting Associates,2,3.9133899436317554,0.30033456800232994,collaboration,Shooter,Gun,12
37,1977.0,Desert Gun,Midway,1,3.9133899436317554,0.30033456800232994,collaboration,Shooter,Gun,12
38,1977.0,"Destroyer (Atari, version O2)",Atari,4,3.9779064276371185,-0.12147820449879346,single,Shooter,Gallery,8
39,1977.0,Sub Hunter (Gremlin / Taito),Gremlin,3,4.0917372829916605,0.286357653142787,single,Shooter,Gallery,8
40,1977.0,Embargo,Cinematronics,9,3.612359947967774,-0.2041199826559248,single,Maze,Surround,3
41,1977.0,"Destroyer (Atari, version O1)",Atari,4,4.062657180225564,-0.12147820449879346,single,Shooter,Gallery,8
42,1977.0,Depthcharge (older),Gremlin,3,4.0917372829916605,0.286357653142787,single,Shooter,Gallery,8
43,1977.0,Minesweeper (4-Player),Amutech,10,3.4874212113594742,0.3178544893314692,single,Maze,Surround,3
44,1977.0,Circus / Acrobat TV,Exidy,11,3.885361220031512,-0.15146481738122095,collaboration,Ball & Paddle,Jump and Touch,9
45,1977.0,Circus / Acrobat TV,Taito,12,3.885361220031512,-0.15146481738122095,collaboration,Ball & Paddle,Jump and Touch,9
46,1977.0,Guided Missile,Midway,1,3.9133899436317554,0.30033456800232994,single,Shooter,Gallery,8
47,1977.0,Boot Hill,Dave Nutting Associates,2,3.9133899436317554,0.30033456800232994,collaboration,Shooter,Versus,2
